Time	CALL	SET	Ta_Sense	Ta_Comp	HUM	HELD	T	POT	WEB	SCH	OAT	Ta_Obs
18:26	0	68	67.708	67.862	33	0	4	68	62	68	40	67.701
18:27	0	68	67.744	67.935	33	0	4	68	62	68	40	67.707
18:27	0	68	67.744	67.969	33	0	4	68	62	68	40	67.715
18:28	0	68	67.744	68	33	0	4	68	62	68	40	67.724
18:28	0	68	67.744	68.028	33	0	4	68	62	68	40	67.734
18:29	0	68	67.744	68.053	33	0	4	68	62	68	40	67.746
18:29	0	68	67.744	68.076	33	0	4	68	62	68	40	67.758
18:30	0	68	67.744	68.097	33	0	4	68	62	68	40	67.771
18:30	0	68	67.744	68.116	33	0	4	68	62	68	40	67.784
18:31	0	68	67.744	68.133	33	0	4	68	62	68	40	67.799
18:31	0	68	67.708	68.113	33	0	4	68	62	68	40	67.813
18:32	0	68	67.744	68.163	33	0	4	68	62	68	40	67.829
18:32	0	68	67.762	68.194	33	0	4	68	62	68	40	67.845
18:33	0	68	67.744	68.187	33	0	4	68	62	68	40	67.861
18:33	0	68	67.762	68.216	33	0	4	68	62	68	40	67.878
18:34	0	68	67.744	68.207	33	0	4	68	62	68	40	67.895
18:35	0	68	67.744	68.216	33	0	4	68	62	68	40	67.913
18:35	0	68	67.744	68.224	33	0	4	68	62	68	40	67.931
18:36	0	68	67.762	68.249	33	0	4	68	62	68	40	67.949
18:36	0	68	67.762	68.255	33	0	4	68	62	68	40	67.967
18:37	0	68	67.744	68.243	33	0	4	68	62	68	40	67.986
18:37	0	68	67.744	68.248	33	0	4	68	62	68	40	68.005
18:38	0	68	67.744	68.253	33	0	4	68	62	68	40	68.024
18:38	0	68	67.762	68.275	33	0	4	68	62	68	40	68.043
18:39	0	68	67.762	68.279	33	0	4	68	62	68	40	68.062
18:39	0	68	67.744	68.264	33	0	4	68	62	68	40	68.082
18:40	0	68	67.744	68.267	33	0	4	68	62	68	40	68.101
18:40	0	68	67.744	68.27	33	0	4	68	62	68	40	68.121
18:41	0	68	67.744	68.273	33	0	4	68	62	68	40	68.141
18:41	0	68	67.744	68.275	33	0	4	68	62	68	40	68.16
18:42	0	68	67.744	68.277	33	0	4	68	62	68	40	68.18
18:42	0	68	67.744	68.279	33	0	4	68	62	68	40	68.2
18:43	0	68	67.708	68.244	33	0	4	68	62	68	40	68.22
18:43	0	68	67.708	68.245	33	0	4	68	62	68	40	68.241
18:44	0	68	67.744	68.283	33	0	4	68	62	68	40	68.261
18:44	0	68	67.744	68.284	33	0	4	68	62	68	40	68.281
18:45	0	68	67.708	68.249	33	0	4	68	62	68	40	68.301
18:45	0	68	67.708	68.25	33	0	4	68	62	68	40	68.322
18:46	0	68	67.69	68.232	33	0	4	68	62	68	40	68.342
18:46	0	68	67.69	68.233	33	0	4	68	62	68	40	68.362
